"id"	"frame"	"x [nm]"	"y [nm]"	"sigma [nm]"	"intensity [photon]"	"offset [photon]"	"bkgstd [photon]"	"uncertainty [nm]"
1.0	1.0	565.0933747803186	4593.703982496417	88.1144488557217	2483.86750846771	1412.5616731746074	124.37076178724446	15.959485632094761
2.0	1.0	573.7066574706474	8297.651451037793	199.52384892671114	11323.78199703227	1525.4343990701088	148.2801794394399	21.3321043058524
3.0	1.0	217.46555516616243	10944.920791745259	1389.8698503343294	1544180.9666091886	1.0164853703509111E-5	114.44217230776631	5.941431479402281
4.0	1.0	661.27501563832	9381.964770727178	250.98566141646765	16498.96832272121	1513.1849754742377	158.23036762509966	24.70222214261784
5.0	1.0	701.3214268884806	28382.97114783221	260.01783476438953	25466.960987770814	2888.4234548117474	288.49880294053634	31.2600562014951
6.0	1.0	766.412159535651	5817.391870882488	221.57625459436775	10393.707886132614	1375.1184248218465	124.08513444285987	23.99087709592716
7.0	1.0	745.1189594347621	6906.925491973541	136.89834197038138	10765.339538082795	1364.0533545203273	83.69624242701485	6.09309691305405
8.0	1.0	1024.7472265737022	1138.3759993449062	218.83260850637924	8076.678848762909	1281.3819080995934	88.7788614086554	21.595716608208672
9.0	1.0	881.5874311697482	3187.4900022699776	85.62199418882481	2274.78827539585	1393.0200582146922	128.35793559389822	16.972013913600335
10.0	1.0	852.0193382897256	24940.072882094268	255.29165287197546	16744.716109517463	2398.810906079518	192.95810448757126	30.675438848709582
